#,Q1,Q2,Q3,Q4,Q5,Q6,Q7
10_4_2,1.0,5.0,1.0,1.0,3.0,2.0,2.0
10_4_3,1.0,5.0,1.0,1.0,3.0,3.0,2.0
10_4_4,1.0,5.0,1.0,1.0,5.0,3.0,3.0
10_4_5,1.0,5.0,1.0,1.0,5.0,3.0,3.0
10_4_6,1.0,5.0,1.0,1.0,5.0,3.0,4.0
10_5_1,1.0,5.0,1.0,1.0,5.0,1.0,2.0
10_5_2,1.0,5.0,1.0,1.0,4.0,1.0,2.0
10_5_3,1.0,5.0,1.0,1.0,4.0,1.0,4.0
10_5_4,1.0,5.0,1.0,1.0,5.0,1.0,2.0
10_5_5,1.0,5.0,1.0,1.0,5.0,1.0,1.0
10_5_6,1.0,5.0,5.0,5.0,5.0,2.0,4.0
